name,type,price
#Назва, Тип, Ціна
Дизельне паливо,Євро5,54.99
Дизельне паливо,Mustang+,57.99
Бензин 95,Євро5,57.99
Бензин 95,Mustang,59.99
Бензин 100,Mustang,65.99
Газ,,35.98
